"","cowcode","gwf_country","gwf_casename","gwf_startdate","gwf_enddate","gwf_startyr","gwf_endyr","gwf_subsreg","gwf_howend","gwf_violent","gwf_regimetype"
"1",700,"Afghanistan","Afghanistan 29-73",1929-10-10,1973-07-17,1930,1973,2,5,2,"monarchy"
"2",700,"Afghanistan","Afghanistan 73-78",1973-07-17,1978-04-27,1974,1978,2,5,4,"personal"
"3",700,"Afghanistan","Afghanistan 78-92",1978-04-27,1992-04-16,1979,1992,3,6,4,"party-personal"
"4",700,"Afghanistan","Afghanistan 96-01",1996-09-27,2001-11-13,1997,2001,3,7,4,"party-based"
"5",700,"Afghanistan","Afghanistan 09-NA",2009-08-20,2010-12-31,2010,NA,0,0,0,"personal"
"6",339,"Albania","Albania 44-91",1944-11-29,1991-06-01,1945,1991,1,4,2,"party-based"
"7",615,"Algeria","Algeria 62-92",1962-07-03,1992-01-11,1963,1992,2,5,1,"party-military"
"8",615,"Algeria","Algeria 92-NA",1992-01-11,2010-12-31,1993,NA,0,0,0,"military"
"9",540,"Angola","Angola 75-NA",1975-11-11,2010-12-31,1976,NA,0,0,0,"party-based"
"10",160,"Argentina","Argentina 43-46",1943-06-04,1946-02-24,1944,1946,1,3,1,"military"
"11",160,"Argentina","Argentina 51-55",1951-09-28,1955-09-16,1952,1955,2,5,1,"personal"
"12",160,"Argentina","Argentina 55-58",1955-09-16,1958-02-23,1956,1958,2,5,1,"military"
"13",160,"Argentina","Argentina 58-66",1958-02-23,1966-06-28,1959,1966,2,5,1,"indirect military"
"14",160,"Argentina","Argentina 66-73",1966-06-28,1973-03-11,1967,1973,1,3,1,"military"
"15",160,"Argentina","Argentina 76-83",1976-03-24,1983-10-30,1977,1983,1,3,1,"military"
"16",371,"Armenia","Armenia 94-98",1994-12-31,1998-02-04,1995,1998,2,4,2,"personal"
"17",371,"Armenia","Armenia 98-NA",1998-02-04,2010-12-31,1999,NA,0,0,0,"personal"
"18",373,"Azerbaijan","Azerbaijan 91-92",1991-10-18,1992-05-15,1992,1992,1,4,2,"personal"
"19",373,"Azerbaijan","Azerbaijan 93-NA",1993-06-16,2010-12-31,1994,NA,0,0,0,"personal"
"20",771,"Bangladesh","Bangladesh 71-75",1971-12-16,1975-08-15,1972,1975,2,5,3,"party-personal"
"21",771,"Bangladesh","Bangladesh 75-82",1975-11-07,1982-03-24,1976,1982,2,5,1,"personal"
