"","state_abb","left_right","democrat","economy","trump_ft","biden_ft"
"1","OK",7,0,2,100,0
"2","ID",5,NA,2,0,0
"3","VA",2,1,3,0,65
"4","CA",9,NA,3,15,70
"5","CO",5,NA,3,85,15
"6","TX",5,1,2,0,85
"7","WI",5,NA,2,75,50
"8","MS",10,NA,2,100,50
"9","AZ",8,NA,2,0,85
"10","CA",5,1,3,0,85
"11","MD",10,NA,2,0,100
"12","WI",5,1,2,0,60
"13","OR",6,0,2,100,0
"14","VA",5,1,3,0,85
"15","NC",7,1,2,40,60
"16","ID",10,0,3,100,0
"17","MA",4,1,3,0,60
"18","NH",3,1,3,0,85
"19","NV",1,1,3,15,85
"20","WI",4,1,2,15,70
"21","PA",10,0,3,95,0
"22","CA",2,1,3,0,75
"23","NY",3,1,3,5,40
"24","AZ",5,NA,1,100,0
"25","CA",0,1,2,15,0
"26","GA",2,1,3,0,85
"27","NC",7,0,3,100,0
"28","VA",5,NA,2,60,50
"29","NY",6,1,3,NA,70
"30","AZ",7,1,3,0,70
"31","HI",5,NA,2,85,0
"32","CO",0,NA,3,0,0
"33","ID",2,1,3,0,85
"34","WI",9,0,1,100,0
"35","NY",4,1,3,0,85
"36","TX",5,0,3,85,0
"37","IL",9,NA,3,15,60
"38","OH",1,1,3,0,40
"39","AR",0,1,3,0,85
"40","GA",8,0,3,100,0
"41","TX",7,0,1,70,15
"42","PA",8,1,3,5,80
"43","NM",9,0,1,100,0
"44","KS",10,0,2,98,0
"45","CA",6,0,3,85,50
"46","MO",10,0,1,100,0
"47","PA",4,1,3,0,85
"48","MN",4,1,3,0,75
"49","CA",8,0,1,80,15
"50","MO",5,1,3,0,100
"51","TX",5,1,3,15,100
"52","VA",5,1,3,0,100
"53","OH",NA,NA,1,85,100
"54","KY",6,NA,2,100,0
"55","PA",6,0,1,85,0
"56","AZ",NA,NA,1,85,30
"57","GA",5,1,2,15,75
"58","NY",4,1,3,0,85
"59","OH",5,NA,3,30,60
"60","TX",8,0,1,85,15
"61","IL",4,NA,3,30,50
"62","MT",5,1,3,15,40
"63","TN",2,1,3,0,100
"64","LA",0,1,3,0,85
"65","NJ",7,1,2,15,40
"66","CA",5,NA,3,0,100
"67","CA",4,1,3,0,100
"68","CA",0,1,3,0,15
"69","CO",2,1,3,0,72
"70","IL",5,1,3,0,70
"71","CA",1,1,2,0,100
"72","MN",5,1,3,0,85
"73","MN",7,1,2,0,100
"74","PA",5,1,2,NA,NA
"75","PA",9,0,1,85,15
"76","IN",5,NA,2,15,40
"77","NY",10,NA,3,0,100
"78","PA",1,1,3,0,85
"79","FL",5,NA,1,70,0
"80","TX",7,1,3,0,100
"81","OK",8,0,1,30,30
"82","AZ",10,0,2,100,0
"83","DE",4,1,3,0,70
"84","DC",6,NA,3,30,85
"85","IN",2,1,3,0,70
"86","NV",10,1,3,0,100
"87","FL",5,NA,3,0,85
"88","WV",2,1,3,0,85
"89","MA",10,0,1,100,0
"90","OH",7,0,3,60,30
"91","VA",6,0,2,85,15
"92","AZ",7,0,1,85,0
"93","OK",10,0,1,100,0
"94","OH",3,1,3,0,70
"95","HI",8,NA,3,60,30
"96","TX",10,0,3,100,40
"97","MA",4,1,3,0,70
"98","GA",3,1,3,0,100
"99","SC",4,1,2,0,100
"100","WA",6,NA,3,30,60
"101","PA",7,0,2,0,100
"102","PA",4,NA,3,15,60
"103","CA",1,1,3,0,70
"104","ID",8,0,3,85,NA
"105","IN",10,0,1,85,0
"106","PA",5,1,3,0,100
"107","MD",9,0,1,100,0
"108","MA",10,0,2,85,NA
"109","KS",7,0,3,65,40
"110","PA",5,1,2,0,85
"111","NY",NA,NA,1,100,0
"112","CA",8,0,1,100,15
"113","IL",5,1,1,70,40
"114","OH",7,0,3,100,15
"115","IL",4,NA,2,70,15
"116","MA",10,0,3,85,50
"117","NC",5,1,2,0,100
"118","NY",10,0,2,100,0
"119","PA",7,NA,3,0,60
"120","AZ",9,0,1,85,0
"121","FL",9,0,2,100,15
"122","CO",3,1,3,NA,NA
"123","AL",NA,NA,1,50,100
"124","MI",5,NA,3,80,15
"125","VA",4,NA,2,70,50
"126","TN",6,NA,3,50,60
"127","OR",1,1,3,0,65
"128","WI",8,0,2,100,0
"129","AZ",3,1,3,0,100
"130","CA",6,NA,3,0,60
"131","PA",5,1,1,0,85
"132","MO",8,0,3,95,20
"133","GA",7,0,1,100,40
"134","MD",9,0,2,90,0
"135","AZ",1,1,3,0,60
"136","NH",0,1,1,100,0
"137","OH",6,0,3,0,50
"138","AZ",10,0,3,100,0
"139","AZ",6,0,3,0,40
"140","NY",5,NA,3,30,50
"141","LA",7,NA,3,100,0
"142","MN",5,1,2,50,85
"143","IL",5,0,1,70,0
"144","NC",1,NA,3,0,60
"145","NJ",10,1,3,0,100
"146","NH",5,1,3,0,70
"147","MA",1,1,3,0,85
"148","TX",NA,NA,2,70,15
"149","NY",5,NA,3,10,75
"150","MI",4,1,3,0,100
"151","AR",9,0,2,100,40
"152","VA",NA,NA,3,0,50
"153","NC",10,0,3,NA,40
"154","NC",NA,NA,3,0,85
"155","SC",8,0,3,70,30
"156","PA",5,0,3,60,50
"157","IL",7,0,2,90,0
"158","TN",3,1,2,0,85
"159","LA",10,0,3,85,50
"160","FL",8,0,2,100,0
"161","KY",10,0,3,100,0
"162","NY",8,0,1,85,0
"163","KS",1,NA,2,30,NA
"164","NC",5,1,3,0,100
"165","NC",NA,NA,3,0,90
"166","CT",2,1,3,0,60
"167","MO",10,0,1,90,0
"168","KY",2,1,3,20,100
"169","VA",6,NA,1,70,0
"170","MO",5,1,2,0,85
"171","NH",7,0,3,60,30
"172","CA",2,1,3,0,85
"173","MA",4,1,3,0,70
"174","TX",5,NA,3,0,85
"175","IL",1,1,3,0,85
"176","AZ",6,1,3,0,60
"177","TN",NA,NA,3,15,70
"178","OH",0,1,3,0,85
"179","KY",5,NA,2,NA,NA
"180","AL",8,0,1,NA,15
