"","SortID","InstanceID","sms_dataid","sms_id","treatment","surveygroup","panel","sarajevocity","sarajevosurvey","panelcity","allwave","nationwave","panelwave","wave3","entity","rs","federation","region","type","urban","rural","municipality","municipality2","municipality3","centar","novigrad","novosarajevo","starigrad","sarajevocanton","panelcitycanton","tuzla","banjaluka","ethnicity","Bosniak","Croat","Serb","Bosnian","other","bosniakfavorable","croatfavorable","serbfavorable","ethnocentric","Men","age","Education","unemployed","religious","voteeu","heardofpride","prideknowledge","supportpride","rightspride","rightsnopride","rightsyesnopride","metgay","closetogay","gayrights","knewvictim","alphaclosecontact","GayActivistTreatment","HomophobeTreatment","AttendPride","ProtestPride","dgbias","magdgbias","dgprogay","dgantigay","municipalitystr","municipalcode","hadzic_merge","ethnic_vote_share","casualty","log_casualty","hhi_sb","hhi_cb","hhi_sc","pop_density","log_pop_density","refugees","cem_strata","cem_matched","cem_weights"
"1",1,459074,NA,NA,1,2,0,0,0,3,2,2,NA,0,2,1,0,9,1,1,1,9,9,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,4,4,1,1,1,34,9,1,2,1,1,2,1,0,0,NA,2,0,3,2,1.75,0,1,0,2,1,1000,0,1000,"Prijedor",9,3,92.0699234008789,4.68532037734985,1.54443430900574,0.430787891149521,0.395122140645981,0.37981304526329,134.943649291992,4.90485715866089,12.463680267334,11,1,1
"2",2,456564,NA,NA,1,2,0,0,0,3,2,2,NA,0,2,1,0,9,1,1,1,10,10,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,4,3,1,1,0,28,5,0,2,1,1,2,1,0,0,NA,4,0,0,1,1.25,1,0,0,0,1,1000,0,1000,"Bosanska Gradiska (Gradiska)",10,3,94.6784820556641,1.00710308551788,0.00707797007635236,0.494210481643677,0.227531030774117,0.549107372760773,78.7060394287109,4.36571979522705,9.47243785858154,9,1,1
"3",3,456096,NA,NA,1,2,0,0,0,3,2,2,NA,0,2,1,0,10,1,1,1,180,180,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,4,4,1,1,0,59,3,0,2,0,1,3,1,0,0,NA,1,0,0,1,0.5,0,1,0,0,1,1000,0,1000,"Bileca",180,3,98.3130722045898,0.767841041088104,-0.264172583818436,0.698879241943359,0.143746748566628,0.797145843505859,20.985782623291,3.04384517669678,5.47274923324585,19,1,1
"4",4,444500,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,2,1,1,1,44,44,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,1,0,1,72,8,0,2,1,1,4,4,1,0,1,1,5,10,1,4.25,0,0,4,0,0,-1000,1000,0,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,1
"5",5,459616,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,1,1,1,1,32,32,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,2,2,2,0,0,52,5,0,2,1,1,4,2,0,1,0,1,5,8,1,3.75,1,0,0,0,1,980,10,990,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,1
"6",6,444586,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,2,2,0,2,47,47,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,1,1,1,0,0,45,3,0,2,1,1,4,4,1,0,1,1,0,10,1,3,0,0,4,0,0,0,500,500,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,1
"7",7,444506,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,2,2,0,2,44,44,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,1,0,1,48,8,0,2,1,1,4,1,0,0,NA,1,0,4,1,1.5,0,0,0,0,1,1000,0,1000,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,1
"8",8,465664,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,4,2,0,2,65,65,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,0,26,9,0,2,1,1,4,1,0,0,NA,1,0,0,1,0.5,0,1,0,0,1,1000,0,1000,"Jajce",65,3,83.7046432495117,1.58197617530823,0.458674788475037,0.321735680103302,0.369555503129959,0.2950838804245,113.654037475586,4.73315906524658,8.28982162475586,10,1,1
"9",9,459245,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,2,1,1,1,98,98,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,2,4,4,1,0,56,6,0,2,1,1,4,1,0,0,NA,1,0,3,1,1.25,1,0,0,0,1,600,200,800,"Kladanj",98,3,78.6688842773438,1.41879272460938,0.349806368350983,0.602042198181152,0.720922350883484,0.243724331259727,49.4461555480957,3.90088438987732,2.15308022499084,19,1,1
"10",10,456628,NA,NA,1,2,0,0,0,3,2,2,NA,0,1,0,1,2,2,0,2,98,98,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,2,3,3,1,1,48,6,0,3,1,1,4,1,0,0,NA,1,0,1,1,0.75,1,1,0,7,1,1000,0,1000,"Kladanj",98,3,78.6688842773438,1.41879272460938,0.349806368350983,0.602042198181152,0.720922350883484,0.243724331259727,49.4461555480957,3.90088438987732,2.15308022499084,16,1,1
