Direction,Year,Country,Religion,Count,Percent,Region,level,countrycode
Incoming,1990,Global Total,All,152970000,100,Global,3,9999
Incoming,1990,Global Total,Buddhist,4590000,3,Global,3,9999
Incoming,1990,Global Total,Christian,72710000,47.5,Global,3,9999
Incoming,1990,Global Total,Hindu,9130000,6,Global,3,9999
Incoming,1990,Global Total,Jew,2340000,1.5,Global,3,9999
Incoming,1990,Global Total,Muslim,39880000,26.1,Global,3,9999
Incoming,1990,Global Total,Other,2530000,1.7,Global,3,9999
Incoming,1990,Global Total,Unaffiliated,21790000,14.2,Global,3,9999
Incoming,1990,All Asia-Pacific,All,39960000,100,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Buddhist,3180000,8,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Christian,9510000,23.8,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Hindu,7100000,17.8,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Jew,80000,0.2,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Muslim,14900000,37.3,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Other,840000,2.1,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Unaffiliated,4360000,10.9,Asia-Pacific,2,9001
Incoming,1990,All Europe,All,49910000,100,Europe,2,9002
Incoming,1990,All Europe,Buddhist,560000,1.1,Europe,2,9002
Incoming,1990,All Europe,Christian,28650000,57.4,Europe,2,9002
Incoming,1990,All Europe,Hindu,490000,1,Europe,2,9002
Incoming,1990,All Europe,Jew,400000,0.8,Europe,2,9002
Incoming,1990,All Europe,Muslim,7900000,15.8,Europe,2,9002
Incoming,1990,All Europe,Other,530000,1.1,Europe,2,9002
Incoming,1990,All Europe,Unaffiliated,11380000,22.8,Europe,2,9002
Incoming,1990,All Latin America-Caribbean,All,7120000,100,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Buddhist,100000,1.4,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Christian,5700000,80,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Hindu,20000,0.3,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Jew,110000,1.5,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Muslim,70000,1,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Other,200000,2.8,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Unaffiliated,920000,13,Latin America-Caribbean,2,9003
Incoming,1990,All Middle East-North Africa,All,15080000,100,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Buddhist,20000,0.1,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Christian,1560000,10.4,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Hindu,670000,4.4,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Jew,1420000,9.4,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Muslim,11060000,73.3,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Other,40000,0.3,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Unaffiliated,320000,2.1,Middle East-North Africa,2,9004
Incoming,1990,All North America,All,27610000,100,North America,2,9005
Incoming,1990,All North America,Buddhist,730000,2.6,North America,2,9005
Incoming,1990,All North America,Christian,19820000,71.8,North America,2,9005
Incoming,1990,All North America,Hindu,830000,3,North America,2,9005
Incoming,1990,All North America,Jew,330000,1.2,North America,2,9005
Incoming,1990,All North America,Muslim,1300000,4.7,North America,2,9005
Incoming,1990,All North America,Other,310000,1.1,North America,2,9005
Incoming,1990,All North America,Unaffiliated,4300000,15.6,North America,2,9005
Incoming,1990,All Sub-Saharan Africa,All,13290000,100,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Buddhist,10000,0.1,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Christian,7470000,56.2,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Hindu,20000,0.2,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Jew,10000,0.1,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Muslim,4660000,35.1,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Other,610000,4.6,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Unaffiliated,510000,3.8,Sub-Saharan Africa,2,9006
Incoming,1990,Afghanistan,All,60000,100,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Buddhist,10000,0.1,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Christian,10000,0.6,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Hindu,10000,0.3,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Jew,10000,0,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Muslim,60000,98.7,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Other,10000,0.2,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Unaffiliated,10000,0.1,Asia-Pacific,1,4
Incoming,1990,Albania,All,70000,100,Europe,1,8
Incoming,1990,Albania,Buddhist,10000,0.1,Europe,1,8
Incoming,1990,Albania,Christian,50000,82.3,Europe,1,8
Incoming,1990,Albania,Hindu,10000,0.2,Europe,1,8
Incoming,1990,Albania,Jew,10000,0.2,Europe,1,8
Incoming,1990,Albania,Muslim,10000,9,Europe,1,8
Incoming,1990,Albania,Other,10000,0.3,Europe,1,8
Incoming,1990,Albania,Unaffiliated,10000,7.9,Europe,1,8
Incoming,1990,Algeria,All,270000,100,Middle East-North Africa,1,12
Incoming,1990,Algeria,Buddhist,10000,0,Middle East-North Africa,1,12
Incoming,1990,Algeria,Christian,30000,11,Middle East-North Africa,1,12
Incoming,1990,Algeria,Hindu,10000,0,Middle East-North Africa,1,12
Incoming,1990,Algeria,Jew,10000,0.1,Middle East-North Africa,1,12
Incoming,1990,Algeria,Muslim,240000,88,Middle East-North Africa,1,12
Incoming,1990,Algeria,Other,10000,0,Middle East-North Africa,1,12
Incoming,1990,Algeria,Unaffiliated,10000,0.8,Middle East-North Africa,1,12
Incoming,1990,American Samoa,All,20000,100,Asia-Pacific,1,16
Incoming,1990,American Samoa,Buddhist,10000,2,Asia-Pacific,1,16
