"","COW_ALPHA","leftright","year","sex","age"
"1","USA",2,1995,1,44
"2","USA",4,1995,2,40
"3","USA",3,1995,1,43
"4","USA",7,1995,2,36
"5","USA",5,1995,2,25
"6","USA",4,1995,1,39
"7","USA",NA,1995,2,80
"8","USA",10,1995,2,48
"9","USA",8,1995,2,93
"10","USA",7,1995,1,32
"11","USA",10,1995,2,74
"12","USA",8,1995,1,30
"13","USA",5,1995,2,32
"14","USA",9,1995,2,74
"15","USA",8,1995,1,48
"16","USA",5,1995,1,42
"17","USA",4,1995,2,28
"18","USA",5,1995,2,70
"19","USA",10,1995,2,36
"20","USA",1,1995,1,49
"21","USA",5,1995,2,38
"22","USA",8,1995,2,79
"23","USA",5,1995,1,59
"24","USA",7,1995,2,50
"25","USA",6,1995,1,-1
"26","USA",6,1995,1,68
"27","USA",3,1995,2,35
"28","USA",6,1995,1,76
"29","USA",5,1995,2,62
"30","USA",5,1995,2,80
"31","USA",3,1995,1,18
"32","USA",4,1995,2,50
"33","USA",NA,1995,1,38
"34","USA",NA,1995,2,48
"35","USA",6,1995,2,37
"36","USA",5,1995,2,45
"37","USA",7,1995,1,47
"38","USA",5,1995,2,32
"39","USA",5,1995,1,50
"40","USA",7,1995,1,42
"41","USA",4,1995,1,42
"42","USA",5,1995,2,-1
"43","USA",6,1995,1,65
"44","USA",6,1995,2,67
"45","USA",6,1995,1,65
"46","USA",6,1995,2,36
"47","USA",7,1995,1,82
"48","USA",5,1995,1,47
"49","USA",3,1995,1,45
"50","USA",8,1995,2,37
"51","USA",7,1995,1,78
"52","USA",NA,1995,1,21
"53","USA",8,1995,1,34
"54","USA",7,1995,2,66
"55","USA",2,1995,2,43
"56","USA",5,1995,1,76
"57","USA",5,1995,2,76
"58","USA",5,1995,1,59
"59","USA",5,1995,2,25
"60","USA",5,1995,1,40
"61","USA",NA,1995,1,43
"62","USA",NA,1995,2,69
"63","USA",NA,1995,1,48
"64","USA",5,1995,2,77
"65","USA",3,1995,1,65
"66","USA",10,1995,1,79
"67","USA",5,1995,2,81
"68","USA",6,1995,1,31
"69","USA",4,1995,2,32
"70","USA",4,1995,2,30
"71","USA",4,1995,1,30
"72","USA",5,1995,2,50
"73","USA",5,1995,2,39
"74","USA",6,1995,2,24
"75","USA",7,1995,1,55
"76","USA",6,1995,2,71
"77","USA",5,1995,2,38
"78","USA",5,1995,2,70
"79","USA",8,1995,1,23
"80","USA",9,1995,2,81
"81","USA",4,1995,1,44
"82","USA",8,1995,1,58
"83","USA",5,1995,2,41
"84","USA",8,1995,2,35
"85","USA",5,1995,2,55
"86","USA",8,1995,2,28
"87","USA",5,1995,2,26
"88","USA",5,1995,1,40
"89","USA",5,1995,1,64
"90","USA",7,1995,1,19
"91","USA",2,1995,2,46
"92","USA",6,1995,2,36
"93","USA",6,1995,2,18
"94","USA",5,1995,1,28
"95","USA",5,1995,2,40
"96","USA",6,1995,1,35
"97","USA",6,1995,2,56
"98","USA",6,1995,1,79
"99","USA",6,1995,1,73
"100","USA",8,1995,2,60
"101","USA",6,1995,1,40
"102","USA",10,1995,1,37
"103","USA",10,1995,2,39
"104","USA",5,1995,2,63
"105","USA",3,1995,2,73
"106","USA",4,1995,1,55
"107","USA",7,1995,1,42
"108","USA",8,1995,2,68
"109","USA",6,1995,1,49
"110","USA",5,1995,1,61
"111","USA",5,1995,2,59
"112","USA",5,1995,2,25
"113","USA",4,1995,1,18
"114","USA",3,1995,2,58
"115","USA",4,1995,2,40
"116","USA",5,1995,2,79
"117","USA",4,1995,1,40
"118","USA",1,1995,1,29
"119","USA",5,1995,2,33
"120","USA",7,1995,2,38
"121","USA",8,1995,2,47
"122","USA",8,1995,1,54
"123","USA",9,1995,1,36
"124","USA",7,1995,2,31
"125","USA",5,1995,2,27
"126","USA",5,1995,1,30
"127","USA",5,1995,2,26
"128","USA",4,1995,1,69
"129","USA",6,1995,2,60
"130","USA",10,1995,2,39
"131","USA",5,1995,1,35
"132","USA",5,1995,1,73
"133","USA",3,1995,1,38
"134","USA",7,1995,2,76
"135","USA",5,1995,2,42
"136","USA",6,1995,1,80
"137","USA",7,1995,1,47
"138","USA",5,1995,2,36
"139","USA",8,1995,1,60
"140","USA",6,1995,1,85
"141","USA",NA,1995,2,-1
"142","USA",8,1995,2,65
"143","USA",5,1995,1,36
"144","USA",8,1995,1,42
"145","USA",NA,1995,2,45
"146","USA",5,1995,2,24
"147","USA",NA,1995,1,32
"148","USA",5,1995,1,33
"149","USA",5,1995,2,33
"150","USA",9,1995,1,73
"151","USA",8,1995,1,30
"152","USA",5,1995,2,37
"153","USA",5,1995,2,39
"154","USA",6,1995,2,30
"155","USA",7,1995,1,34
"156","USA",5,1995,1,39
"157","USA",6,1995,1,61
"158","USA",6,1995,2,66
"159","USA",5,1995,2,25
"160","USA",6,1995,2,28
"161","USA",5,1995,1,55
"162","USA",7,1995,1,41
"163","USA",8,1995,1,30
"164","USA",6,1995,1,48
"165","USA",6,1995,1,73
"166","USA",5,1995,2,44
"167","USA",5,1995,2,44
"168","USA",6,1995,1,91
"169","USA",4,1995,1,37
"170","USA",3,1995,2,61
"171","USA",5,1995,1,40
"172","USA",4,1995,2,61
"173","USA",7,1995,1,-1
"174","USA",3,1995,1,61
"175","USA",NA,1995,1,21
"176","USA",NA,1995,2,39
